Date,Location,N,Diversity,Divergence
20191224,World,10,0.00015938640000000002,7.96932e-05
20191224,China,10,0.00015938640000000002,7.96932e-05
20191231,World,6,0.0006910458666666666,0.00039846599999999994
20191231,China,6,0.0006910458666666666,0.00039846599999999994
20200107,World,9,0.0,0.0
20200107,China,6,0.0,0.0
20200107,Thailand,2,0.0,0.0
20200114,World,24,0.0005956182173913113,0.00029906454166667124
20200114,China,23,0.0006213955691699676,0.00031206734782609173
20200121,World,61,0.0008733398300546439,0.0004574525737704919
20200121,USA,7,0.0012927941904761907,0.000683928
20200121,China,26,0.0013029081599999972,0.0007052256153846153
20200121,Singapore,3,0.000531172,0.000265586
20200121,Hong Kong,5,0.0003187728,0.0001593864
20200121,Japan,3,0.0,0.0
20200121,Australia,6,0.0006906164,0.00039843699999999997
20200121,France,3,0.0,0.0
20200121,Taiwan,3,0.0,0.0
20200121,Canada,2,0.000796933,0.0003984665
20200128,World,118,0.0007183307630016008,0.00037153161016949146
20200128,USA,6,0.00042493759999999995,0.000531172
20200128,United Kingdom,2,0.0,0.0
20200128,China,76,0.0009471530589473756,0.0004929755526315788
20200128,Italy,3,0.0,0.0
20200128,Singapore,4,0.00039846599999999994,0.000199233
20200128,Hong Kong,5,0.0007968628,0.0004781248
20200128,Japan,4,0.0,0.0
20200128,Australia,2,0.0,0.0
20200128,France,6,0.0,0.0
20200128,Taiwan,2,0.0,0.0
20200128,South Korea,4,0.0,0.0
20200204,World,85,0.0008616896703081436,0.0004596703411764705
20200204,USA,2,0.000796758,0.000398379
20200204,United Kingdom,6,0.0017016835999999998,0.0013294070000000001
20200204,China,49,0.0005767932355442156,0.0002929854285714285
20200204,Singapore,4,0.0,0.0
20200204,Hong Kong,14,0.0007451537912087912,0.0008540260714285713
20200204,Japan,2,0.00239317,0.001196585
20200204,Australia,3,0.0,0.0
20200204,South Korea,3,0.000531288,0.000265644
20200211,World,60,0.0006779112644067795,0.0003586730333333333
20200211,USA,9,0.0013748488888888888,0.000974458888888889
20200211,China,7,0.0,0.0
20200211,Japan,40,0.0004668087999999994,0.00025892705
20200218,World,40,0.001071351237179488,0.000597759275
20200218,USA,23,0.0014560914031620572,0.000900920652173913
20200218,China,2,0.000796026,0.000398013
20200218,Singapore,2,0.0,0.0
20200218,Hong Kong,2,0.00240468,0.001196585
20200218,Malaysia,6,0.0,0.0
20200225,World,275,0.000973296259110783,0.0005422288400000001
20200225,USA,83,0.0010510536150455721,0.0007299966987951806
20200225,United Kingdom,54,0.0007633102438853881,0.0004284237407407407
20200225,China,15,0.0007292971238095238,0.00037204819999999995
20200225,Netherlands,29,0.00016504620689655172,8.252310344827586e-05
20200225,Belgium,6,0.0,0.0
20200225,Switzerland,24,0.001456733050724635,0.0008640075833333333
20200225,Georgia,2,0.00239317,0.001196585
20200225,Australia,9,0.0016839228333333334,0.0015066106666666668
20200225,Kuwait,3,0.0,0.0
20200225,France,10,0.0004427055111111111,0.0002390624
20200225,Brazil,6,0.00042503093333333327,0.0002656443333333333
20200225,Taiwan,4,0.00039846599999999994,0.000199233
20200225,Finland,3,0.0015946773333333332,0.000796874
20200225,Canada,5,0.0003187728,0.0001593864
20200225,South Korea,4,0.0,0.0
20200225,Portugal,2,0.00159665,0.000796932
20200225,Germany,6,0.0007977233333333333,0.00039886166666666667
20200303,World,458,0.0009057891280424362,0.0004934895196506552
20200303,USA,121,0.0007685012595041624,0.00043760611570247933
20200303,United Kingdom,96,0.0012456169697368413,0.0007645074583333333
20200303,Spain,7,0.00022764514285714284,0.00011382257142857142
20200303,Netherlands,108,0.00048655135064036657,0.00025827887037037036
20200303,Belgium,10,0.0,0.0
20200303,Italy,3,0.0015954466666666667,0.0007977233333333333
20200303,England,10,0.00031916244444444436,0.00015956
20200303,Switzerland,4,0.002395113666666667,0.002393445
20200303,Australia,15,0.001444874828571429,0.0010635715333333331
20200303,Denmark,2,0.0,0.0
20200303,France,37,0.0006445744804804801,0.0003449883783783784
20200303,Brazil,11,0.0014496788363636372,0.0007971167272727273
20200303,Chile,6,0.0018622964,0.0009308236666666666
20200303,Finland,9,0.0007526484444444446,0.0004427014444444444
20200303,Canada,7,0.0017478743809523805,0.0009111675714285714
20200303,Ireland,4,0.000398013,0.0001990065
20200303,Vietnam,3,0.0,0.0
20200310,World,275,0.0008482935140810257,0.0004388393709090909
20200310,USA,180,0.0004569459666046041,0.0002347419166666666
20200310,United Kingdom,16,0.0009440208749999997,0.0004985431875000001
20200310,Netherlands,35,0.0004931286201680676,0.0002505629142857143
20200310,Belgium,12,0.000640763303030303,0.00033228716666666665
20200310,Japan,2,0.0,0.0
20200310,Georgia,2,0.000796758,0.000398379
20200310,Australia,20,0.0016085490736842108,0.00107674285
20200310,New Zealand,4,0.000398379,0.0001991895
20200317,World,14,0.0015290186813186808,0.0010273035714285716
20200317,USA,9,0.0014680422222222223,0.0008003044444444445
20200317,Australia,3,0.0,0.00239317
20200317,Hungary,2,0.0,0.0
